tissue,cq,cq_mean,cq_std,sq,sqmean,sq_std,logSQ,positive,organism_num,day,temp,titer,plate
Abd,31.07,31.44,0.32,1595,1270,282,3.202760687,1,2,7,33C,e7,1
LW,36.77,37.57,0.92,38.5,25.6,13.4,1.58546073,0,2,7,33C,e7,1
Sal,0,39.31,0.05,0,7.3,0.233,0,0,2,7,33C,e7,1
Abd,28.83,29.22,0.36,6900,5432,1312,3.838849091,1,3,7,33C,e7,1
LW,0,0,0,0,0,0,0,0,3,7,33C,e7,1
Sal,0,0,0,0,0,0,0,0,3,7,33C,e7,1
Abd,30.32,30.56,0.22,2609,2234,328,3.416474079,1,4,7,33C,e7,1
LW,0,38.12,1.35,0,19.1,14.9,0,0,4,7,33C,e7,1
Sal,0,39.8,1.2,0,6.15,4.38,0,0,4,7,33C,e7,1
Abd,31.68,31.76,0.11,1073,1014,68.7,3.030599722,1,5,7,33C,e7,1
LW,0,38.17,1.35,0,18.5,14.5,0,0,5,7,33C,e7,1
Sal,0,0,0,0,0,0,0,0,5,7,33C,e7,1
Abd,31.59,31.79,0.17,1133,1003,116,3.05422991,1,6,7,33C,e7,1
LW,0,38.64,0.75,0,12.1,5.69,0,0,6,7,33C,e7,1
Sal,0,38.65,0.36,0,11.5,2.66,0,0,6,7,33C,e7,1
Abd,33.51,33.68,0.18,323,291,33.8,2.509202522,1,7,7,33C,e7,1
LW,35.94,36.66,0.66,66.3,44.2,19.8,1.821513528,1,7,7,33C,e7,1
Sal,0,0,0,0,0,0,0,0,7,7,33C,e7,1
Abd,34.23,34.43,0.28,202,180,30.8,2.305351369,1,8,7,33C,e7,1
LW,35.29,36.65,1.99,102,62.4,47.6,2.008600172,1,8,7,33C,e7,1
Sal,0,0,0,0,0,0,0,0,8,7,33C,e7,1
Abd,33.07,33.37,0.32,177,146,32.7,2.247973266,1,9,7,33C,e7,2
LW,0,37.79,0.07,0,6.06,0.317,0,0,9,7,33C,e7,2
Sal,0,0,0,0,0,0,0,0,9,7,33C,e7,2
Abd,33.33,33.67,0.33,147,118,27.9,2.167317335,1,10,7,33C,e7,2
LW,39.15,39.34,0.22,2.28,2,0.304,0.357934847,0,10,7,33C,e7,2
Sal,0,0,0,0,0,0,0,0,10,7,33C,e7,2
Abd,34.6,34.98,0.33,59.2,46,11.4,1.772321707,1,11,7,33C,e7,2
LW,0,38.92,1.4,0,3.38,2.91,0,0,11,7,33C,e7,2
Sal,37.94,39.41,1.65,5.44,2.77,2.48,0.7355989,0,11,7,33C,e7,2
Abd,34.6,34.69,0.09,59.1,55.7,3.74,1.771587481,1,12,7,33C,e7,2
LW,37.27,38.65,1.24,8.77,4.28,3.92,0.942999593,0,12,7,33C,e7,2
Sal,0,0,0,0,0,0,0,0,12,7,33C,e7,2
Abd,33.46,33.73,0.28,134,112,22.1,2.127104798,1,13,7,33C,e7,2
LW,36.78,37.69,0.82,12.5,7.32,4.51,1.096910013,0,13,7,33C,e7,2
Sal,0,0,0,0,0,0,0,0,13,7,33C,e7,2
Abd,33.7,34.21,0.5,113,81.9,28.9,2.053078443,1,14,7,33C,e7,2
LW,39.17,39.45,0.25,2.24,1.85,0.346,0.350248018,0,14,7,33C,e7,2
Sal,0,38.57,0.1,0,3.45,0.244,0,0,14,7,33C,e7,2
Abd,32.81,32.93,0.12,214,196,17.5,2.330413773,1,15,7,33C,e7,2
LW,37.68,37.94,0.31,6.52,5.49,1.15,0.814247596,0,15,7,33C,e7,2
Sal,0,0,0,0,0,0,0,0,15,7,33C,e7,2
Abd,37.14,37.54,0.43,9.63,7.44,2.2,0.983626287,0,16,7,33C,e7,2
LW,0,0,0,0,0,0,0,0,16,7,33C,e7,2
Sal,0,39.21,0.2,0,2.19,0.319,0,0,16,7,33C,e7,2
Abd,0,0,0,0,0,0,0,0,1,14,27C,e7,1
LW,0,37.45,0.66,0,15.9,6.9,0,0,1,14,27C,e7,1
Sal,0,0,0,0,0,0,0,0,1,14,27C,e7,1
Abd,35.15,35.49,0.34,72.4,58.2,13.4,1.859738566,1,2,14,27C,e7,1
LW,0,39.69,0.78,0,3.49,1.78,0,0,2,14,27C,e7,1
Sal,0,0,0,0,0,0,0,0,2,14,27C,e7,1
Abd,34.93,35.19,0.23,83.8,71.1,11.4,1.923244019,1,3,14,27C,e7,1
LW,37.11,38.62,1.32,19,9.05,8.62,1.278753601,0,3,14,27C,e7,1
Sal,0,0,0,0,0,0,0,0,3,14,27C,e7,1
Abd,37.12,38.85,2.57,18.8,11,9.25,1.274157849,0,4,14,27C,e7,1
LW,0,0,0,0,0,0,0,0,4,14,27C,e7,1
Sal,0,0,0,0,0,0,0,0,4,14,27C,e7,1
Abd,36.36,36.98,0.59,31.7,21.9,8.97,1.501059262,1,5,14,27C,e7,1
LW,37.39,38.8,1.22,15.7,7.72,6.9,1.195899652,0,5,14,27C,e7,1
Sal,0,0,0,0,0,0,0,0,5,14,27C,e7,1
Abd,32.07,32.13,0.05,591,569,18.9,2.771587481,1,6,14,27C,e7,1
LW,36.43,36.67,0.21,30.2,25.8,3.77,1.480006943,1,6,14,27C,e7,1
Sal,39.04,39.83,0.75,5.1,3.25,1.68,0.707570176,0,6,14,27C,e7,1
Abd,0,38.96,0.72,0,5.71,2.71,0,0,7,14,27C,e7,1
LW,0,38.64,0.84,0,7.26,3.96,0,0,7,14,27C,e7,1
Sal,0,0,0,0,0,0,0,0,7,14,27C,e7,1
Abd,0,0,0,0,0,0,0,0,8,14,27C,e7,1
LW,0,0,0,0,0,0,0,0,8,14,27C,e7,1
Sal,0,0,0,0,0,0,0,0,8,14,27C,e7,1
Abd,36.99,37.24,0.23,35.5,30.4,4.68,1.550228353,0,17,14,27C,e7,3
LW,0,40.6,1.9,0,4.8,4.77,0,0,17,14,27C,e7,3
Sal,0,0,0,0,0,0,0,0,17,14,27C,e7,3
Abd,36.47,37.13,0.64,49.5,34.2,14.1,1.694605199,1,18,14,27C,e7,3
LW,37.44,38.65,1.04,26.4,14.3,10.5,1.421603927,0,18,14,27C,e7,3
Sal,0,0,0,0,0,0,0,0,18,14,27C,e7,3
Abd,0,38.32,1.03,0,16.6,10.4,0,0,19,14,27C,e7,3
LW,0,0,0,0,0,0,0,0,19,14,27C,e7,3
Sal,0,0,0,0,0,0,0,0,19,14,27C,e7,3
Abd,37.78,38.76,0.96,21.2,12.7,7.71,1.326335861,0,20,14,27C,e7,3
LW,0,37.88,0.48,0,20.4,6.27,0,0,20,14,27C,e7,3
Sal,0,0,0,0,0,0,0,0,20,14,27C,e7,3
Abd,40.25,39.62,1.53,18.4,35.3,33.4,1.547774705,0,17,3,27C,e7,3
LW,40.25,39.22,1.46,18.4,40.1,30.7,1.603144373,0,17,3,27C,e7,3
Sal,39.18,39.44,0.37,34.5,29.9,6.39,1.475671188,0,17,3,27C,e7,3
Abd,38.5,38.2,0.41,51.5,62,14.8,1.792391689,0,18,3,27C,e7,3
LW,37.98,38.74,1.08,69.7,49.1,29.1,1.691081492,0,18,3,27C,e7,3
Sal,40.4,39.41,0.86,16.8,32.6,13.7,1.5132176,0,18,3,27C,e7,3
Abd,35.32,35.22,0.26,331,354,55.1,2.549003262,1,19,3,27C,e7,3
LW,40.42,39.54,1,16.6,31.4,19.1,1.496929648,0,19,3,27C,e7,3
Sal,37.63,38.82,1.69,85.7,53.4,45.6,1.727541257,0,19,3,27C,e7,3
Abd,0,38.65,0.52,0,48,14.3,1.681241237,0,20,3,27C,e7,3
LW,38.51,39.23,1.04,50.9,37.4,18.2,1.572871602,0,20,3,27C,e7,3
Sal,38.61,39.23,0.65,48.2,35.1,12.8,1.545307116,0,20,3,27C,e7,3
Abd,36.87,37.7,1.13,55.2,37.7,20.9,1.57634135,0,9,14,27C,e7,2
LW,39.75,39.1,0.89,9.14,15.3,9.2,1.184691431,0,9,14,27C,e7,2
Sal,39.17,0,0,13.1,0,0,0,0,9,14,27C,e7,2
Abd,38.56,37.64,1.3,19.1,39.7,29.1,1.598790507,0,10,14,27C,e7,2
LW,0,38.31,0.86,0,24,12.2,1.380211242,0,10,14,27C,e7,2
Sal,0,0,0,0,0,0,0,0,10,14,27C,e7,2
Abd,36.85,37.77,1.22,55.6,37.1,21.7,1.56937391,0,11,14,27C,e7,2
LW,39.37,39.3,0.06,11.6,12.1,0.443,1.08278537,0,11,14,27C,e7,2
Sal,0,0,0,0,0,0,0,0,11,14,27C,e7,2
Abd,0,0,0,0,0,0,0,0,12,14,27C,e7,2
LW,36.81,38.51,2.4,57.3,32.1,35.7,1.506505032,0,12,14,27C,e7,2
Sal,0,0,0,0,0,0,0,0,12,14,27C,e7,2
Abd,39.32,0,0,11.9,0,0,0,0,13,14,27C,e7,2
LW,37.63,37.69,0.63,34.2,34.6,12.9,1.539076099,0,13,14,27C,e7,2
Sal,0,0,0,0,0,0,0,0,13,14,27C,e7,2
Abd,38.65,38.54,0.15,18.2,19.5,1.86,1.290034611,0,14,14,27C,e7,2
LW,0,0,0,0,0,0,0,0,14,14,27C,e7,2
Sal,0,0,0,0,0,0,0,0,14,14,27C,e7,2
Abd,36.27,36.46,0.88,79.8,78,38.1,1.892094603,1,15,14,27C,e7,2
LW,39.28,39.05,0.55,12.2,14.7,5.33,1.167317335,0,15,14,27C,e7,2
Sal,0,0,0,0,0,0,0,0,15,14,27C,e7,2
Abd,0,0,0,0,0,0,0,0,16,14,27C,e7,2
LW,37.67,0,0,33.4,0,0,0,0,16,14,27C,e7,2
Sal,0,37.75,2.26,0,49.1,52.8,1.691081492,0,16,14,27C,e7,2
Abd,37.03,36.63,0.58,348,448,151,2.651278014,0,17,3,30C,e7,3
LW,37.98,37.87,0.28,207,221,35.3,2.344392274,0,17,3,30C,e7,3
Sal,0,0,0,0,0,0,0,0,17,3,30C,e7,3
Abd,36.44,38.01,1.4,480,250,201,2.397940009,0,18,3,30C,e7,3
LW,37.26,36.75,0.45,307,413,94.4,2.615950052,0,18,3,30C,e7,3
Sal,0,0,0,0,0,0,0,0,18,3,30C,e7,3
Abd,37.98,37.29,0.87,207,326,165,2.5132176,0,19,3,30C,e7,3
LW,38.55,37.98,0.51,151,212,54.4,2.326335861,0,19,3,30C,e7,3
Sal,0,0,0,0,0,0,0,0,19,3,30C,e7,3
Abd,36.88,37.5,0.87,377,288,117,2.459392488,0,20,3,30C,e7,3
LW,36.55,37.04,0.64,452,360,114,2.556302501,0,20,3,30C,e7,3
Sal,39.82,0,0,75.3,0,0,0,0,20,3,30C,e7,3
Abd,32.71,32.93,0.22,765,667,92.5,2.824125834,1,1,14,30C,e7,1
LW,36.01,37.01,0.88,94,55.4,33.5,1.743509765,0,1,14,30C,e7,1
Sal,0,0,0,0,0,0,0,0,1,14,30C,e7,1
Abd,34.69,35.41,0.63,217,145,62.3,2.161368002,1,2,14,30C,e7,1
LW,35.66,36.1,0.66,117,93.5,33.8,1.970811611,1,2,14,30C,e7,1
Sal,0,0,0,0,0,0,0,0,2,14,30C,e7,1
Abd,36.03,36.66,0.64,92.9,65.8,26.1,1.818225894,0,3,14,30C,e7,1
LW,34.48,34.74,0.24,248,212,32.5,2.326335861,1,3,14,30C,e7,1
Sal,0,0,0,0,0,0,0,0,3,14,30C,e7,1
Abd,35.56,35.76,0.33,125,112,22,2.049218023,1,4,14,30C,e7,1
LW,35.68,35.88,0.19,115,102,12.4,2.008600172,1,4,14,30C,e7,1
Sal,0,0,0,0,0,0,0,0,4,14,30C,e7,1
Abd,35.91,36.32,0.94,100,85.3,41,1.930949031,1,5,14,30C,e7,1
LW,35.39,35.43,0.3,139,138,25.6,2.139879086,1,5,14,30C,e7,1
Sal,0,0,0,0,0,0,0,0,5,14,30C,e7,1
Abd,34.72,34.76,0.22,213,209,29,2.320146286,1,6,14,30C,e7,1
